Symbol,Name,Gross Margin TTM,Operating Margin TTM,Pretax Margin TTM,Net Margin TTM,FCF Margin TTM,ROA TTM,ROE TTM,ROIC TTM,RAD Ratio TTM,SGAA Ratio TTM
1JANATAMF,First Janata Bank Mutual Fund Units,,,,,,,,,,
1STPRIMFMF,Prime Finance First Mutual Fund 2009 Units,,,,,,,,,,
PREMIERCEM,Premier Cement Mills PLC,13.6615446834039,10.122178814971,3.27036174715028,1.0933741464453,-5.156768980600432,0.742642197199044,3.96360759987662,1.96256945429205,,3.695814550379838
PREMIERLEA,Premier Leasing & Finance Limited,,,,,,,,,,
PRIME1ICBA,Prime Bank 1st ICB AMCL Mutual Fund Units,,,,,,,,,,
PRIMEBANK,Prime Bank PLC,,23.2711389297918,22.7347172194595,15.9399875325454,28.55849317959982,1.49770610427148,21.6001263800202,5.84771460135599,,
PRIMEFIN,Prime Finance and Investment Ltd.,,,,,,,,,,
PRIMEINSUR,Prime Insurance Company Limited,,12.3285929736183,12.3285929736183,8.75540408252251,-25.39451082134943,3.53951079953345,8.19389852761019,8.19389852761019,,
PRIMELIFE,Prime Life Insurance Company Limited,,-6.32988686317475,-6.32988686317475,-5.92502618157336,-1.6532207440104196,-2.82784285322953,-206.976039719533,-206.976039719533,,
PRIMETEX,Prime Textile Spining Mills Ltd.,,,,,,,,,,
PROGRESLIF,Progressive Life Insurance Co. Ltd.,,,,,,,,,,
PROVATIINS,Provatee Insurance Company Limited,,10.6601877659223,10.66018788136,8.60467498377355,,4.28804710082745,8.33208182237862,8.33208182237862,,
PTL,Paramount Textile PLC,21.125222246232,18.1963832040587,8.74834436547395,9.10103113171921,-12.1674418725807,3.45855648934948,16.8976997306279,4.87068680945688,,2.928839042173209
PUBALIBANK,Pubali Bank PLC,,16.5117774216722,15.5092487454188,9.39734485719994,21.576371115661246,0.948338510676802,17.0415402679724,7.16561492090419,,
PURABIGEN,Purabi General Insurance Co. Ltd.,,,,,,,,,,
QUASEMIND,Quasem Industries Limited.,22.8126350739614,4.15806470141336,3.18530812055936,2.06927447646292,0.96385272411423,0.749025828911482,1.43084108996949,1.27801669852117,,18.654570372548022
QUEENSOUTH,Queen South Textile Mills Ltd.,,,,,,,,,,
RAHIMAFOOD,Rahima Food Corporation Ltd.,19.4907207903913,11.7437543006207,12.1835479793329,9.88943103106562,2.995301639841624,3.16370037900321,5.11936300698175,5.11936300698175,,7.746966489770664
RAHIMTEXT,Rahim Textile Mills Ltd.,14.5364086390491,10.8938747922919,2.31240977014111,0.8965212312129,-6.950253873052785,0.638488071760324,4.80208686232437,1.98229054648004,,3.642533846757199
